Chinese,Pinyin,English,Level
大,dà,big,HSK 1
多,duō,many,HSK 1
高兴,gāoxìng,happy,HSK 1
好,hǎo,good,HSK 1
冷,lěng,cold,HSK 1
漂亮,piàoliang,pretty,HSK 1
热,rè,hot,HSK 1
少,shǎo,few,HSK 1
小,xiǎo,small,HSK 1
白,bái,white,HSK 2
长,cháng,long,HSK 2
对,duì,correct,HSK 2
高,gāo,"tall, high",HSK 2
贵,guì,expensive; noble,HSK 2
好吃,hǎochī,"tasty, delicious",HSK 2
黑,hēi,"black; dark; shady, illegal",HSK 2
红,hóng,red; popular; revolutionary,HSK 2
近,jìn,"nearby, close",HSK 2
快,kuài,quick,HSK 2
快乐,kuàilè,happy,HSK 2
累,lèi,tired,HSK 2
慢,màn,slow,HSK 2
忙,máng,busy,HSK 2
便宜,piányi,"cheap, inexpensive",HSK 2
新,xīn,new,HSK 2
远,yuǎn,far,HSK 2
不,bù,"no, not",HSK 1
没有,méiyǒu,did not,HSK 1
很,hěn,very,HSK 1
太,tài,too,HSK 1
都,dōu,all,HSK 1
别,bié,do not (do something),HSK 2
非常,fēicháng,"very, extremely",HSK 2
还,hái,still; in addition; even,HSK 2
就,jiù,just (emphasis); only,HSK 2
也,yě,also,HSK 2
已经,yǐjīng,already,HSK 2
一起,yīqǐ,together,HSK 2
再,zài,again; another; then,HSK 2
真,zhēn,"really, truly; real",HSK 2
正在,zhèngzài,in the process of (doing something),HSK 2
最,zuì,"most, -est",HSK 2
会,huì,"can, know to",HSK 1
能,néng,"can, be able to",HSK 1
想,xiǎng,would like to,HSK 1
可能,kěnéng,"maybe, might; possible",HSK 2
可以,kěyǐ,"may, can",HSK 2
要,yào,to want; to need; have to; want to; will,HSK 2
和,hé,and,HSK 1
但是,dànshì,but,HSK 2
虽然,suīrán,although,HSK 2
所以,suǒyǐ,"so, therefore",HSK 2
因为,yīnwèi,because,HSK 2
这,zhè,this,HSK 1
那,nà,that,HSK 1
每,měi,every,HSK 2
喂,wèi,"hey, hello",HSK 1
多少,duōshǎo,how much,HSK 1
几,jǐ,"how many, a few",HSK 1
哪,nǎ,which,HSK 1
哪儿,nǎr,where,HSK 1
什么,shénme,"what, why",HSK 1
谁,shéi,who,HSK 1
怎么,zěnme,how,HSK 1
怎么样,zěnmeyàng,how about,HSK 1
为什么,wèishénme,why,HSK 2
本,běn,[measure word for books],HSK 1
个,gè,[measure word for people],HSK 1
块,kuài,[measure word for pieces],HSK 1
岁,suì,years old,HSK 1
些,xiē,some,HSK 1
一点儿,yīdiǎnr,a little,HSK 1
次,cì,[measure word for how many times something happens],HSK 2
件,jiàn,[measure word],HSK 2
一下,yīxià,"[after a verb] quickly, briefly, casually",HSK 2
爸爸,bàba,dad,HSK 1
北京,Běijīng,Beijing,HSK 1
杯子,bēizi,cup,HSK 1
菜,cài,vegetable,HSK 1
茶,chá,tea,HSK 1
出租车,chūzūchē,taxi,HSK 1
点,diǎn,"point, dot, spot",HSK 1
电脑,diànnǎo,computer,HSK 1
电视,diànshì,television,HSK 1
电影,diànyǐng,movie,HSK 1
东西,dōngxi,thing,HSK 1
儿子,érzi,son,HSK 1
饭店,fàndiàn,restaurant,HSK 1
飞机,fēijī,airplane,HSK 1
分钟,fēnzhōng,minute,HSK 1
狗,gǒu,dog,HSK 1
汉语,hànyǔ,mandarin Chinese,HSK 1
后面,hòumiàn,behind,HSK 1
家,jiā,home,HSK 1
今天,jīntiān,today,HSK 1
老师,lǎoshī,teacher,HSK 1
里面,lǐmiàn,inside,HSK 1
妈妈,māma,mom,HSK 1
猫,māo,cat,HSK 1
米饭,mǐfàn,rice,HSK 1
明天,míngtiān,tomorrow,HSK 1
名字,míngzi,name,HSK 1
年,nián,year,HSK 1
女儿,nǚ'ér,daughter,HSK 1
朋友,péngyou,friend,HSK 1
苹果,píngguǒ,apple,HSK 1
钱,qián,money,HSK 1
前面,qiánmiàn,front,HSK 1
人,rén,person,HSK 1
上,shàng,up,HSK 1
商店,shāngdiàn,store,HSK 1
上午,shàngwǔ,morning,HSK 1
时候,shíhou,time,HSK 1
书,shū,book,HSK 1
水,shuǐ,water,HSK 1
水果,shuǐguǒ,fruit,HSK 1
天气,tiānqì,weather,HSK 1
同学,tóngxué,shoolmate,HSK 1
下,xià,down,HSK 1
先生,xiānsheng,sir,HSK 1
现在,xiànzài,now,HSK 1
小姐,xiǎojiě,Miss,HSK 1
下午,xiàwǔ,afternoon,HSK 1
星期,xīngqī,week,HSK 1
学生,xuéshēng,student,HSK 1
学校,xuéxiào,school,HSK 1
衣服,yīfu,cloth,HSK 1
医生,yīshēng,doctor,HSK 1
医院,yīyuàn,hospital,HSK 1
椅子,yǐzi,chair,HSK 1
月,yuè,month,HSK 1
中国,Zhōngguó,China,HSK 1
中午,zhōngwǔ,noon,HSK 1
桌子,zhuōzi,desk,HSK 1
字,zì,character,HSK 1
昨天,zuótiān,yesterday,HSK 1
报纸,bàozhǐ,newspaper,HSK 2
宾馆,bīnguǎn,hotel,HSK 2
错,cuò,"mistake, fault; mistakenly",HSK 2
弟弟,dìdi,younger brother,HSK 2
房间,fángjiān,room,HSK 2
服务员,fúwùyuán,"(food) server, waiter, waitress",HSK 2
哥哥,gēge,older brother,HSK 2
公共汽车,gōnggòng qìchē,public (city) bus,HSK 2
公司,gōngsī,"company, corporation; office",HSK 2
孩子,háizi,child,HSK 2
火车站,huǒchēzhàn,train station,HSK 2
教室,jiàoshì,classroom,HSK 2
机场,jīchǎng,airport,HSK 2
鸡蛋,jīdàn,(chicken) egg,HSK 2
姐姐,jiějie,older sister,HSK 2
咖啡,kāfēi,coffee,HSK 2
考试,kǎoshì,"test, exam",HSK 2
课,kè,"lesson, class",HSK 2
路,lù,"road, path, way",HSK 2
旅游,lǚyóu,travel,HSK 2
妹妹,mèimei,younger sister; young woman,HSK 2
门,mén,"door, gate",HSK 2
面条,miàntiáo,noodles,HSK 2
男,nán,male,HSK 2
牛奶,niúnǎi,(cow) milk,HSK 2
女,nǚ,female,HSK 2
旁边,pángbiān,"the side, next to",HSK 2
票,piào,ticket,HSK 2
铅笔,qiānbǐ,pencil,HSK 2
晴,qíng,"clear, fine (weather)",HSK 2
妻子,qīzi,wife,HSK 2
去年,qùnián,last year,HSK 2
日,rì,day; Japan,HSK 2
生日,shēngrì,birthday,HSK 2
身体,shēntǐ,body; health,HSK 2
时间,shíjiān,time,HSK 2
事情,shìqing,"affair, business, matter, thing",HSK 2
手表,shǒubiǎo,wristwatch,HSK 2
手机,shǒujī,"cell phone, mobile phone",HSK 2
题,tí,(math) problem,HSK 2
外,wài,outside,HSK 2
问题,wèntí,"question; problem, issue",HSK 2
洗,xǐ,"to wash, to bathe",HSK 2
小时,xiǎoshí,hour,HSK 2
西瓜,xīguā,watermelon,HSK 2
姓,xìng,surname,HSK 2
希望,xīwàng,"to hope, to wish",HSK 2
雪,xuě,snow,HSK 2
羊肉,yángròu,"mutton, lamb (meat)",HSK 2
眼睛,yǎnjing,eye,HSK 2
颜色,yánsè,color,HSK 2
药,yào,"medicine, drug",HSK 2
阴,yīn,overcast (in 阴天),HSK 2
意思,yìsi,meaning,HSK 2
游泳,yóuyǒng,swimming,HSK 2
右边,yòubian,right side; to the right,HSK 2
鱼,yú,fish,HSK 2
运动,yùndòng,"sports, exercise",HSK 2
早上,zǎoshang,morning,HSK 2
丈夫,zhàngfu,husband,HSK 2
准备,zhǔnbèi,preparation(s),HSK 2
左边,zuǒbian,the left side; to the left of,HSK 2
一,yī,one,HSK 1
二,èr,two,HSK 1
三,sān,three,HSK 1
四,sì,four,HSK 1
五,wǔ,five,HSK 1
六,liù,six,HSK 1
七,qī,seven,HSK 1
八,bā,eight,HSK 1
九,jiǔ,nine,HSK 1
十,shí,ten,HSK 1
号,hào,"[day number in a date], number (in a series)",HSK 1
百,bǎi,hundred,HSK 2
第一,dì-yī,"number one, the first",HSK 2
两,liǎng,two (of something),HSK 2
千,qiān,thousand,HSK 2
的,de,[structural particle],HSK 1
了,le,[aspectual particle],HSK 1
吗,ma,[question particle],HSK 1
呢,ne,[question particle],HSK 1
吧,ba,[modal particle for suggestions],HSK 2
得,de,[structural particle used after a verb],HSK 2
过,guo,[aspectual particle to indicate experience],HSK 2
着,zhe,[aspectual particle indicating a continuous state],HSK 2
你,nǐ,you,HSK 1
他,tā,"he, him",HSK 1
她,tā,"she, her",HSK 1
我,wǒ,"I, me",HSK 1
我们,wǒmen,"we, us",HSK 1
大家,dàjiā,everyone,HSK 2
您,nín,you (polite form),HSK 2
它,tā,it,HSK 2
不客气,búkèqì,you are welcome,HSK 1
打电话,dǎ diànhuà,to call on the phone,HSK 1
没关系,méi guānxì,it doesn’t matter,HSK 1
打篮球,dǎ lánqiú,to play basketball,HSK 2
踢足球,tī zúqiú,to play soccer,HSK 2
在,zài,"in, at",HSK 1
比,bǐ,"to compare, to compete; [particle for comparisons]",HSK 2
从,cóng,from; via,HSK 2
对,duì,toward,HSK 2
给,gěi,"to, for",HSK 2
往,wǎng,towards,HSK 2
爱,ài,to love,HSK 1
吃,chī,to eat,HSK 1
读,dú,to read,HSK 1
对不起,duìbùqǐ,sorry,HSK 1
工作,gōngzuò,to work,HSK 1
喝,hē,to drink,HSK 1
回,huí,to return,HSK 1
叫,jiào,"to call, to be called",HSK 1
开,kāi,to open,HSK 1
看,kàn,to look (at),HSK 1
看见,kànjiàn,to see,HSK 1
来,lái,to come,HSK 1
没有,méiyǒu,to not have,HSK 1
买,mǎi,to buy,HSK 1
请,qǐng,please,HSK 1
去,qù,to go,HSK 1
认识,rènshi,to be familiar with,HSK 1
是,shì,"to be (am, is, are)",HSK 1
睡觉,shuìjiào,to sleep,HSK 1
说,shuō,to say. to speak,HSK 1
听,tīng,to listen (to),HSK 1
下雨,xiàyǔ,to rain,HSK 1
写,xiě,to write,HSK 1
谢谢,xièxie,thank you; to thank,HSK 1
喜欢,xǐhuān,to like,HSK 1
学习,xuéxí,to study,HSK 1
有,yǒu,to have,HSK 1
再见,zàijiàn,good-bye,HSK 1
住,zhù,to live (in/at),HSK 1
做,zuò,to do,HSK 1
坐,zuò,to sit,HSK 1
帮助,bāngzhù,help; to help,HSK 2
唱歌,chànggē,to sing a song,HSK 2
出,chū,to go out; to happen,HSK 2
穿,chuān,"to wear, to put on; to pierce",HSK 2
到,dào,"to arrive; to (a place), until (a time)",HSK 2
等,děng,to wait (for),HSK 2
懂,dǒng,to understand,HSK 2
告诉,gàosu,"to tell, to inform",HSK 2
给,gěi,to give,HSK 2
介绍,jièshào,to introduce,HSK 2
进,jìn,"to enter, to go in",HSK 2
觉得,juéde,to think; to feel,HSK 2
开始,kāishǐ,to start; beginning,HSK 2
离,lí,to be distanced from,HSK 2
旅游,lǚyóu,to travel,HSK 2
卖,mài,to sell,HSK 2
跑步,pǎobù,"to jog, to go running",HSK 2
起床,qǐchuáng,to get up (out of bed),HSK 2
让,ràng,"to let, to make, to have (someone do something)",HSK 2
上班,shàngbān,to go to work,HSK 2
生病,shēngbìng,"to fall ill, to get sick",HSK 2
说话,shuōhuà,"to speak (words), to talk",HSK 2
送,sòng,"to give (a gift); to deliver, to send; to see off (a person)",HSK 2
跳舞,tiàowǔ,to dance (a dance),HSK 2
完,wán,to finish,HSK 2
玩,wán,to play (with); to have fun,HSK 2
晚上,wǎnshang,evening,HSK 2
问,wèn,to ask,HSK 2
笑,xiào,"to laugh, to smile",HSK 2
姓,xìng,to be surnamed,HSK 2
休息,xiūxi,"to rest, to sleep",HSK 2
游泳,yóuyǒng,to swim,HSK 2
运动,yùndòng,"to exercise, to play sports",HSK 2
找,zhǎo,to look for; to call on someone,HSK 2
知道,zhīdào,to know,HSK 2
准备,zhǔnbèi,to prepare,HSK 2
走,zǒu,"to walk, to go, to leave",HSK 2
